trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
295,False,"{'a': 0.3, 'e': 0.05233970594843238}",25,8,30.98508364810116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.3, 'e': 0.05181891717272583}",20,8,4.363235603564443,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.3, 'e': 0.051303310331919115}",20,7,9.69594528440847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.3, 'e': 0.0507928338648985}",35,18,34.675325611753756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.3, 'e': 0.050287436723591865}",20,0,33.89268067942363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.3, 'e': 0.049787068367863944}",25,8,22.73414482857002,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.3, 'e': 0.04929167876046214}",20,1,27.600699795198278,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.3, 'e': 0.04880121836201296}",30,9,36.39840915450609,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.3, 'e': 0.04831563812606777}",20,5,10.259674798207064,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.3, 'e': 0.04783488949419836}",20,9,19.542695104691553,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.3, 'e': 0.047358924391140915}",25,8,9.421247882897724,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
306,False,"{'a': 0.3, 'e': 0.046887695219988486}",20,9,19.58900306821948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.3, 'e': 0.04642115485743125}",25,17,12.412315213594116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.3, 'e': 0.045959256649044204}",20,12,15.75197402318723,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.3, 'e': 0.04550195440462157}",20,14,12.628868958507347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.3, 'e': 0.0450492023935578}",25,12,22.217014970782348,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.3, 'e': 0.044600955340274535}",30,13,35.960123967327064,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.3, 'e': 0.04415716841969287}",20,4,26.60043496543019,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
